# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15512
LoggingStart,Button Press
LoggingStartTime,05.31 13:25:00
LoggingInterval,1 hour
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2021-04-23,15:00:00,,2021-04-23 15:00:00,22.0573,27.9973,2.69671
,,2,2021-04-23,16:00:00,,2021-04-23 16:00:00,22.2122,27.1916,2.4184
,,3,2021-04-23,17:00:00,,2021-04-23 17:00:00,22.1427,26.7674,2.1381
,,4,2021-04-23,18:00:00,,2021-04-23 18:00:00,22.0466,27.0207,2.18807
,,5,2021-04-23,19:00:00,,2021-04-23 19:00:00,21.9024,26.0075,1.52983
,,6,2021-04-23,20:00:00,,2021-04-23 20:00:00,22.0039,27.3198,2.3061
,,7,2021-04-23,21:00:00,,2021-04-23 21:00:00,21.9718,27.451,2.34598
,,8,2021-04-23,22:00:00,,2021-04-23 22:00:00,22.0146,27.4083,2.36071
,,9,2021-04-23,23:00:00,,2021-04-23 23:00:00,21.9184,27.3167,2.23131
,,10,2021-04-24,00:00:00,,2021-04-24 00:00:00,22.116,27.8965,2.69637
,,11,2021-04-24,01:00:00,,2021-04-24 01:00:00,22.1588,28.8304,3.19827
,,12,2021-04-24,02:00:00,,2021-04-24 02:00:00,21.9024,28.5039,2.81641
,,13,2021-04-24,03:00:00,,2021-04-24 03:00:00,22.1,29.7826,3.60822
,,14,2021-04-24,04:00:00,,2021-04-24 04:00:00,22.2122,29.6818,3.65714
,,15,2021-04-24,05:00:00,,2021-04-24 05:00:00,22.1267,30.1671,3.81369
,,16,2021-04-24,06:00:00,,2021-04-24 06:00:00,22.0039,29.5171,3.39801
,,17,2021-04-24,07:00:00,,2021-04-24 07:00:00,22.0146,29.3858,3.34408
,,18,2021-04-24,08:00:00,,2021-04-24 08:00:00,22.1695,29.5293,3.547
,,19,2021-04-24,09:00:00,,2021-04-24 09:00:00,22.3777,29.1966,3.56611
,,20,2021-04-24,10:00:00,,2021-04-24 10:00:00,22.1695,28.5863,3.08715
,,21,2021-04-24,11:00:00,,2021-04-24 11:00:00,22.3083,26.8223,2.30842
