"Plot Title: Larrea annual 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10641606, SEN S/N: 10641606)","Intensity, lum/ft² (LGR S/N: 10641606, SEN S/N: 10641606)","Coupler Detached (LGR S/N: 10641606)","Coupler Attached (LGR S/N: 10641606)","Host Connected (LGR S/N: 10641606)","Stopped (LGR S/N: 10641606)","End Of File (LGR S/N: 10641606)"
1,05/31/21 02:55:24  PM,19.092,0.0,,,,,
2,05/31/21 02:55:27  PM,,,Logged,,,,
3,05/31/21 03:55:24  PM,17.760,9.0,,,,,
4,05/31/21 04:55:24  PM,17.570,9.0,,,,,
5,05/31/21 05:55:24  PM,17.570,8.0,,,,,
6,05/31/21 06:55:24  PM,17.570,8.0,,,,,
7,05/31/21 07:55:24  PM,17.570,8.0,,,,,
8,05/31/21 08:55:24  PM,17.475,8.0,,,,,
9,05/31/21 09:55:24  PM,17.379,8.0,,,,,
10,05/31/21 10:55:24  PM,17.284,8.0,,,,,
11,05/31/21 11:55:24  PM,17.189,7.0,,,,,
12,06/01/21 12:55:24  AM,17.189,8.0,,,,,
13,06/01/21 01:55:24  AM,17.094,8.0,,,,,
14,06/01/21 02:55:24  AM,17.094,8.0,,,,,
15,06/01/21 03:55:24  AM,17.094,7.0,,,,,
16,06/01/21 04:55:24  AM,17.094,8.0,,,,,
17,06/01/21 05:55:24  AM,16.999,7.0,,,,,
18,06/01/21 06:55:24  AM,17.094,7.0,,,,,
19,06/01/21 07:55:24  AM,17.189,10.0,,,,,
20,06/01/21 08:55:24  AM,17.665,10.0,,,,,
21,06/01/21 09:55:24  AM,17.950,11.0,,,,,
22,06/01/21 10:55:24  AM,18.140,10.0,,,,,
23,06/01/21 11:55:24  AM,18.045,8.0,,,,,
24,06/01/21 12:55:24  PM,17.950,10.0,,,,,
25,06/01/21 01:55:24  PM,17.950,10.0,,,,,
26,06/01/21 02:55:24  PM,17.855,8.0,,,,,
27,06/01/21 03:55:24  PM,17.855,8.0,,,,,
28,06/01/21 04:55:24  PM,17.855,8.0,,,,,
29,06/01/21 05:55:24  PM,17.855,8.0,,,,,
30,06/01/21 06:55:24  PM,17.855,8.0,,,,,
31,06/01/21 07:55:24  PM,17.855,8.0,,,,,
32,06/01/21 08:55:24  PM,17.760,8.0,,,,,
33,06/01/21 09:55:24  PM,17.855,8.0,,,,,
34,06/01/21 10:55:24  PM,17.665,8.0,,,,,
35,06/01/21 11:55:24  PM,17.665,7.0,,,,,
36,06/02/21 12:55:24  AM,17.665,7.0,,,,,
37,06/02/21 01:55:24  AM,17.570,7.0,,,,,
38,06/02/21 02:55:24  AM,17.475,7.0,,,,,
