"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",-0.72972972972973,-0.263157894736842,-0.548387096774194
"2",-0.777777777777778,-0.295774647887324,-0.744075829383886
"3",-0.6,0.0943396226415094,-0.536
"4",-0.241379310344828,-0.0588235294117647,-0.6
"5",-0.4,0.176470588235294,-0.460869565217391
"6",-0.142857142857143,0.0769230769230769,-0.263157894736842
"7",0.309090909090909,0.191489361702128,-0.134328358208955
"8",-0.846153846153846,0.04,-0.5
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",NA,NA,NA
"15",NA,NA,NA
"16",NA,NA,NA
"17",NA,NA,NA
"18",-0.52744630071599,-0.0526315789473684,-0.6
"19",-0.552238805970149,0.0714285714285714,-0.612403100775194
"20",-0.1,0.266666666666667,-0.491525423728814
"21",-0.333333333333333,0.121951219512195,-0.565217391304348
"22",-0.767441860465116,-0.333333333333333,-0.882352941176471
"23",-0.751243781094527,-0.466666666666667,-0.91304347826087
"24",-0.379310344827586,-0.132075471698113,-0.395348837209302
"25",NA,NA,NA
"26",NA,NA,NA
"27",NA,NA,NA
"28",NA,NA,NA
"29",NA,NA,NA
"30",NA,NA,NA
"31",-0.799648506151142,0.333333333333333,-0.651612903225806
"32",-0.384615384615385,0.0181818181818182,-0.770491803278688
"33",0.151515151515152,0.44,-0.454545454545455
"34",-0.4,0,-0.796791443850267
"35",-0.471264367816092,-0.185185185185185,-0.882352941176471
"36",-0.76,-0.660377358490566,-0.725490196078431
"37",-0.735849056603774,-0.415384615384615,-0.752380952380952
"38",-0.117647058823529,0.432835820895522,-0.169230769230769
"39",-0.623188405797101,0,-0.534246575342466
"40",0.209302325581395,0.777777777777778,0.333333333333333
"41",-0.458823529411765,0.215189873417722,-0.458823529411765
"42",-0.333333333333333,0.116279069767442,-0.688888888888889
"43",0.2,0.28,-0.333333333333333
"44",0.454545454545455,0.2,-0.384615384615385
"45",-0.407407407407407,0.0256410256410256,-0.490196078431373
"46",NA,NA,NA
"47",NA,NA,NA
"48",NA,NA,NA
