"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",0.285714285714286,0.215686274509804,-0.0256410256410256
"2",0.307692307692308,0.181818181818182,-0.161290322580645
"3",0.411764705882353,0.25,-0.132075471698113
"4",0.463414634146341,0.333333333333333,-0.0232558139534884
"5",0.3125,0.794392523364486,0.3125
"6",NA,NA,NA
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",NA,NA,NA
"15",NA,NA,NA
"16",NA,1,1
"17",-0.277777777777778,0.852090032154341,0.886977886977887
"18",-0.70048309178744,0.551020408163265,0.698630136986301
"19",-0.5,0.6,0.684210526315789
"20",-0.347368421052632,0.483870967741935,0.636363636363636
"21",-0.0285714285714286,0.470588235294118,0.357142857142857
"22",0.2,0.333333333333333,0.234042553191489
"23",0.254901960784314,0.224489795918367,0.173913043478261
"24",0.309090909090909,0.173913043478261,-0.0857142857142857
"25",0.333333333333333,0.136363636363636,-0.169230769230769
"26",0.357142857142857,0.0526315789473684,-0.2
"27",0.387755102040816,0.210526315789474,-0.153846153846154
"28",0.468354430379747,0.311475409836066,-0.05
"29",0.2,0.785714285714286,0.294117647058824
"30",NA,NA,NA
"31",NA,NA,NA
"32",NA,NA,NA
"33",NA,NA,NA
"34",NA,NA,NA
"35",NA,NA,NA
"36",NA,NA,NA
"37",NA,NA,NA
"38",NA,NA,NA
"39",NA,NA,NA
"40",NA,1,1
"41",-0.0588235294117647,0.882352941176471,0.932075471698113
"42",-0.660377358490566,0.584905660377358,0.706666666666667
"43",-0.411764705882353,0.6,0.655172413793103
"44",-0.283018867924528,0.46031746031746,0.6
"45",-0.0285714285714286,0.485714285714286,0.2
"46",0.155555555555556,0.377049180327869,0.24
"47",0.230769230769231,0.148936170212766,0.111111111111111
"48",0.259259259259259,0.024390243902439,-0.0810810810810811
"49",0.183673469387755,0.130434782608696,-0.194029850746269
"50",0.309090909090909,0.116279069767442,-0.225806451612903
"51",0.36,0.0857142857142857,-0.207547169811321
"52",0.459459459459459,0.333333333333333,0.024390243902439
"53",0.161290322580645,0.731958762886598,0.212121212121212
"54",NA,NA,NA
"55",NA,NA,NA
"56",NA,NA,NA
"57",NA,NA,NA
"58",NA,NA,NA
"59",NA,NA,NA
"60",NA,NA,NA
"61",NA,NA,NA
"62",NA,NA,NA
"63",NA,NA,NA
"64",NA,1,1
"65",-0.28955223880597,0.809187279151943,0.899814471243043
"66",-0.580246913580247,0.652173913043478,0.764705882352941
"67",-0.481481481481481,0.538461538461538,0.655172413793103
"68",-0.36,0.476923076923077,0.617977528089888
"69",-0.0285714285714286,0.419354838709677,0.333333333333333
"70",0.136363636363636,0.309090909090909,0.208333333333333
"71",0.183673469387755,0.2,0.111111111111111
"72",0.207547169811321,-0.135135135135135,-0.105263157894737
"73",0.236363636363636,0.0666666666666667,-0.2
"74",0.155555555555556,0.116279069767442,-0.225806451612903
"75",0.319148936170213,0.157894736842105,-0.207547169811321
"76",0.263157894736842,0.288135593220339,0
"77",0.176470588235294,0.621621621621622,0.151515151515152
"78",NA,NA,NA
"79",NA,NA,NA
"80",NA,NA,NA
"81",NA,NA,NA
"82",NA,NA,NA
"83",NA,NA,NA
"84",NA,NA,NA
"85",NA,NA,NA
"86",NA,NA,NA
"87",NA,NA,NA
"88",NA,NA,1
"89",-0.255813953488372,0.828571428571429,0.905429071803853
"90",-0.634408602150538,0.582417582417582,0.726618705035971
"91",-0.505882352941176,0.5,0.636363636363636
"92",-0.307692307692308,0.52112676056338,0.617977528089888
"93",-0.0588235294117647,0.4375,0.357142857142857
"94",0.136363636363636,0.333333333333333,0.24
"95",0.2,0.111111111111111,0.0476190476190476
"96",0.230769230769231,-0.0810810810810811,-0.0810810810810811
"97",0.236363636363636,0.142857142857143,-0.217391304347826
"98",0.166666666666667,0.111111111111111,-0.230769230769231
"99",0.276595744680851,0.128205128205128,-0.214285714285714
"100",0.207547169811321,0.288135593220339,0
"101",0.189189189189189,0.63855421686747,0.166666666666667
"102",NA,NA,NA
"103",NA,NA,NA
"104",NA,NA,NA
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,NA
"108",NA,NA,NA
"109",NA,NA,NA
"110",NA,NA,NA
"111",NA,NA,NA
"112",NA,1,1
"113",-0.333333333333333,0.777777777777778,0.86046511627907
"114",-0.616161616161616,0.565217391304348,0.714285714285714
"115",-0.505882352941176,0.515151515151515,0.636363636363636
"116",-0.283018867924528,0.442622950819672,0.617977528089888
"117",-0.2,0.5,0.6
"118",0.162790697674419,0.4,0.28
"119",0.215686274509804,0.130434782608696,0.130434782608696
"120",0.207547169811321,-0.024390243902439,-0.0769230769230769
"121",0.306122448979592,0.19047619047619,-0.0793650793650794
"122",0.309090909090909,0.173913043478261,-0.151515151515152
"123",0.166666666666667,0.0625,-0.25
"124",0.224489795918367,0.377049180327869,0.116279069767442
"125",0.142857142857143,0.672727272727273,0.142857142857143
"126",NA,NA,NA
"127",NA,NA,NA
"128",NA,NA,NA
"129",NA,NA,NA
"130",NA,NA,NA
"131",NA,NA,NA
"132",NA,NA,NA
"133",NA,NA,NA
"134",NA,NA,NA
"135",NA,NA,NA
"136",-1,0.75,0.8
"137",-0.291666666666667,0.831062670299727,0.885819521178637
"138",-0.649484536082474,0.583333333333333,0.722222222222222
"139",-0.454545454545455,0.466666666666667,0.636363636363636
"140",-0.384615384615385,0.4375,0.6
"141",-0.142857142857143,0.617021276595745,0.6
