rii,microsite
0.025519884,Ephedra californica
0.017410361,Ephedra californica
-0.00693341,Ephedra californica
-0.04388096,Ephedra californica
-0.058742561,Ephedra californica
-0.033100154,Ephedra californica
-0.033645134,Ephedra californica
-0.0306133,Ephedra californica
-0.057631076,Ephedra californica
-0.053323988,Ephedra californica
-0.022110833,Ephedra californica
-0.024089839,Ephedra californica
-0.076606729,Ephedra californica
-0.281267911,Ephedra californica
-0.1757777,Ephedra californica
-0.033179099,Ephedra californica
-0.026213784,Ephedra californica
0.022249663,Ephedra californica
0.006870455,Ephedra californica
0.03704915,Ephedra californica
0.0027501,Ephedra californica
0.038735495,Ephedra californica
-0.043688619,Ephedra californica
0.150329841,Ephedra californica
-0.086671696,Ephedra californica
0.054743788,Ephedra californica
0.096565133,Ephedra californica
0.185740514,Ephedra californica
0.127062706,Ephedra californica
0.251291471,Ephedra californica
0.016521197,Ephedra californica
0.282781053,Ephedra californica
0.245857037,Ephedra californica
-0.166446499,Ephedra californica
-4.882697947,Ephedra californica
-0.273802654,Ephedra californica
-0.071136976,Ephedra californica
-0.005253383,Ephedra californica
-0.085143954,Ephedra californica
-0.104308443,Ephedra californica
-0.087246174,Ephedra californica
-0.020232574,Ephedra californica
-0.011110597,Ephedra californica
-0.028859905,Ephedra californica
-0.037920908,Ephedra californica
-0.109350092,Ephedra californica
-0.085030842,Ephedra californica
0.009327034,Ephedra californica
-0.210221628,Ephedra californica
0,Ephedra californica
0.168025698,Ephedra californica
0.462033015,Ephedra californica
1.058688147,Ephedra californica
3.623853211,Ephedra californica
1.566429034,Ephedra californica
-0.153846154,Ephedra californica
0.01827115,Ephedra californica
0.033492823,Ephedra californica
0,Ephedra californica
0.169054441,Ephedra californica
3.81508079,Ephedra californica
-0.495165499,Ephedra californica
-0.17357395,Ephedra californica
-0.054937921,Ephedra californica
-0.175162022,Ephedra californica
-0.071250264,Ephedra californica
-0.223700587,Ephedra californica
-0.251743018,Ephedra californica
-0.221302266,Ephedra californica
-0.248807814,Ephedra californica
-0.090469531,Ephedra californica
-0.248718865,Ephedra californica
-0.173702472,Ephedra californica
-0.036454198,Ephedra californica
0.626828249,Ephedra californica
-3.201975851,Ephedra californica
0.277981278,Ephedra californica
0.706887347,Ephedra californica
0.04290429,Ephedra californica
0.226703755,Ephedra californica
0.205037561,Ephedra californica
0.087838839,Ephedra californica
-0.015448527,Ephedra californica
0,Ephedra californica
1.228684081,Ephedra californica
-0.495168944,Ephedra californica
-0.201692525,Ephedra californica
0.006041601,Ephedra californica
-0.021693131,Ephedra californica
-0.083736764,Ephedra californica
-0.031025808,Ephedra californica
-0.126255524,Ephedra californica
0.067131367,Ephedra californica
-0.093754733,Ephedra californica
-0.013225873,Ephedra californica
0,Ephedra californica
-0.013327269,Ephedra californica
0,Ephedra californica
-0.030742745,Ephedra californica
-0.013433135,Ephedra californica
0.007509852,Ephedra californica
-0.10479176,Ephedra californica
0.02597073,Ephedra californica
0,Ephedra californica
0.020545906,Ephedra californica
0.380766224,Ephedra californica
0.695597484,Ephedra californica
-0.04672096,Ephedra californica
-0.074697372,Ephedra californica
-0.218865314,Ephedra californica
-0.168855585,Ephedra californica
-0.160688739,Ephedra californica
-0.124519373,Ephedra californica
0.103438939,Ephedra californica
0.016150317,Ephedra californica
0.168098353,Ephedra californica
-0.036194847,Ephedra californica
-0.368203388,Ephedra californica
-0.050088174,Ephedra californica
-0.280252033,Ephedra californica
-0.070727841,Ephedra californica
-0.076363636,Ephedra californica
-0.041829202,Ephedra californica
-0.081544435,Ephedra californica
-0.087972,Ephedra californica
-0.127381646,Ephedra californica
-0.607669617,Ephedra californica
-0.057800224,Ephedra californica
-0.648981419,Ephedra californica
-0.392975664,Ephedra californica
-0.225966796,Ephedra californica
-0.07643545,Ephedra californica
-0.089308863,Ephedra californica
-0.14796156,Ephedra californica
-0.348658813,Ephedra californica
-0.238245594,Ephedra californica
-0.06462585,Ephedra californica
-0.024933986,Ephedra californica
-0.091279853,Ephedra californica
0.001586956,Ephedra californica
-0.113696856,Ephedra californica
0.019098385,Ephedra californica
0.117631899,Ephedra californica
-0.012950267,Ephedra californica
-0.077354036,Ephedra californica
-0.049873289,Ephedra californica
-0.055278854,Ephedra californica
0.141421171,Ephedra californica
0.039563863,Ephedra californica
-0.049691834,Ephedra californica
-0.059459459,Ephedra californica
-0.230496454,Ephedra californica
-0.09039269,Ephedra californica
-0.315313141,Ephedra californica
1.243705942,Ephedra californica
-0.122948685,Ephedra californica
-0.531675087,Ephedra californica
-0.43545478,Ephedra californica
-0.199754777,Ephedra californica
-0.15710175,Ephedra californica
-0.198449003,Ephedra californica
0.02781336,Ephedra californica
-0.099663927,Ephedra californica
-0.145596165,Ephedra californica
0.087940606,Ephedra californica
-0.057112719,Ephedra californica
-0.041843942,Ephedra californica
0.019348476,Ephedra californica
-0.009302778,Ephedra californica
-0.140317391,Ephedra californica
-0.045549895,Ephedra californica
0.083924589,Ephedra californica
-0.130494695,Ephedra californica
-0.370091556,Ephedra californica
-0.237113402,Ephedra californica
-0.39322444,Ephedra californica
-0.674867342,Ephedra californica
-0.692247301,Ephedra californica
-0.954009882,Ephedra californica
-0.347591123,Ephedra californica
-0.120978494,Ephedra californica
-0.386150655,Ephedra californica
-0.130539617,Ephedra californica
-0.070797842,Ephedra californica
0.118826926,Ephedra californica
0.123722496,Ephedra californica
0.101779508,Ephedra californica
-0.042492849,Ephedra californica
0.09987231,Ephedra californica
-0.197848087,Ephedra californica
-0.08240259,Ephedra californica
-0.013553114,Ephedra californica
-0.027851556,Ephedra californica
0.110929018,Ephedra californica
0.119234576,Ephedra californica
-0.087812103,Ephedra californica
