"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",-0.387755102040816,-0.431578947368421,-0.581395348837209
"2",-0.647058823529412,-0.577464788732394,-0.317647058823529
"3",-0.723076923076923,-0.647058823529412,-0.382716049382716
"4",-0.72972972972973,-0.641025641025641,-0.411764705882353
"5",-0.673202614379085,-0.560975609756098,-0.454545454545455
"6",-0.504950495049505,-0.433962264150943,-0.433962264150943
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",NA,NA,NA
"15",NA,NA,NA
"16",NA,NA,NA
"17",-0.174418604651163,-0.224242424242424,-0.485294117647059
"18",0.142857142857143,-0.180327868852459,-0.44
"19",0.349397590361446,-0.173913043478261,-0.542857142857143
"20",0.642857142857143,0.111111111111111,-0.126760563380282
"21",0.206349206349206,-0.0204081632653061,-0.0638297872340425
"22",0.111111111111111,-0.0847457627118644,-0.0847457627118644
"23",-0.333333333333333,-0.411764705882353,-0.107692307692308
"24",-0.285714285714286,-0.358490566037736,-0.0746268656716418
"25",-0.333333333333333,-0.406593406593407,-0.0158730158730159
"26",-0.635036496350365,-0.611510791366906,-0.317647058823529
"27",-0.647058823529412,-0.647058823529412,-0.382716049382716
"28",-0.721973094170404,-0.641025641025641,-0.411764705882353
"29",-0.741496598639456,-0.560975609756098,-0.454545454545455
"30",-0.541284403669725,-0.448275862068966,-0.448275862068966
"31",NA,NA,NA
"32",NA,NA,NA
"33",NA,NA,NA
"34",NA,NA,NA
"35",NA,NA,NA
"36",NA,NA,NA
"37",NA,NA,NA
"38",NA,NA,NA
"39",NA,NA,NA
"40",NA,NA,NA
"41",-0.188571428571429,-0.188571428571429,-0.485714285714286
"42",-0.0769230769230769,-0.4,-0.611510791366906
"43",0.333333333333333,-0.148936170212766,-0.52112676056338
"44",0.642857142857143,0.166666666666667,-0.111111111111111
"45",0.612903225806452,0.04,-0.0434782608695652
"46",0.0857142857142857,-0.12280701754386,-0.0847457627118644
"47",-0.285714285714286,-0.309090909090909,-0.107692307692308
"48",-0.180327868852459,-0.333333333333333,-0.0746268656716418
"49",-0.283018867924528,-0.387755102040816,-0.0303030303030303
"50",-0.6,-0.565217391304348,-0.301204819277108
"51",-0.244444444444444,-0.647058823529412,-0.365853658536585
"52",-0.721973094170404,-0.6,-0.391304347826087
"53",-0.702127659574468,-0.558441558441558,-0.44578313253012
"54",-0.560975609756098,-0.432835820895522,-0.454545454545455
"55",NA,NA,NA
"56",NA,NA,NA
"57",NA,NA,NA
"58",NA,NA,NA
"59",NA,NA,NA
"60",NA,NA,NA
"61",NA,NA,NA
"62",NA,NA,NA
"63",NA,NA,NA
"64",NA,NA,NA
"65",-0.189655172413793,-0.243243243243243,-0.468085106382979
"66",-0.220338983050847,-0.565217391304348,-0.674418604651163
"67",0.365853658536585,-0.106382978723404,-0.507246376811594
"68",0.657657657657658,0.173913043478261,-0.0857142857142857
"69",0.636363636363636,0.0204081632653061,-0.0434782608695652
