"","rii_calc_shrub","rii_calc_triangle","rii_calc_square"
"1",-1,-0.777777777777778,-1
"2",NA,NA,NA
"3",NA,NA,NA
"4",NA,NA,NA
"5",NA,NA,NA
"6",NA,NA,NA
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",-0.192307692307692,-0.441860465116279,0.398058252427184
"15",-0.365853658536585,-0.365853658536585,0.363636363636364
"16",-0.56390977443609,-0.507246376811594,0.133333333333333
"17",-0.651612903225806,-0.542168674698795,0.0303030303030303
"18",0.368421052631579,0.571428571428571,0.6
"19",-0.833333333333333,-0.733990147783251,-0.814432989690722
"20",-0.84,-0.657657657657658,-0.84
"21",-0.896907216494845,-0.628318584070796,-0.877551020408163
"22",-0.871345029239766,-0.649484536082474,-0.865889212827988
"23",-0.874476987447699,-0.659259259259259,-0.828571428571429
"24",-0.918465227817746,-0.612903225806452,-0.777777777777778
