researcher,region,site_code,rep,x,y,z,shrub_species,NSAT,NSRH,SGT,microsite,date,start_time
ng,Cuyama,Cuyama_2,23,282,292,143,Ephedra californica,19.64,29.23,16.3,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,24,320,289,145,Ephedra californica,19.84,29.46,17.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,25,453,393,148,Ephedra californica,20.15,29.46,16.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,26,520,498,185,Ephedra californica,20.36,29.6,14.5,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,27,326,222,145,Ephedra californica,28.3,30.48,16.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,28,348,293,153,Ephedra californica,20.1,31.57,15.6,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,29,310,261,169,Ephedra californica,19.68,33.08,14.2,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_2,30,331,230,156,Ephedra californica,19.51,33.17,15.1,shrub,13-02-2023,13:02
ng,Cuyama,Cuyama_3,1,363,342,164,Ephedra californica,6.32,67.43,7.6,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,2,492,453,250,Ephedra californica,6.52,65.23,6.1,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,3,456,312,157,Ephedra californica,6.49,63.6,4.9,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,4,610,547,230,Ephedra californica,6.58,64.15,4.4,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,5,310,240,168,Ephedra californica,7.29,59.1,8.4,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,6,198,197,138,Ephedra californica,6.54,63.29,4.9,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,7,348,368,210,Ephedra californica,6.39,64.4,4.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,8,218,205,153,Ephedra californica,6.4,60.95,4.2,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,9,443,427,197,Ephedra californica,6.17,60.67,4.2,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,10,368,352,147,Ephedra californica,6.42,60.14,6.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,11,229,187,182,Ephedra californica,8.56,46.96,6,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,12,497,362,165,Ephedra californica,8.24,48.76,8,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,13,489,305,146,Ephedra californica,8.06,48.52,4.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,14,290,265,291,Ephedra californica,7.67,51.05,4.7,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,15,221,187,142,Ephedra californica,7.7,50.81,4.4,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,16,440,460,215,Ephedra californica,8.45,50.21,5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,17,174,161,110,Ephedra californica,8.48,50.71,6.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,18,415,400,215,Ephedra californica,8.69,48.82,5.7,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,19,196,176,122,Ephedra californica,8.9,48.25,14.9,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,20,146,140,105,Ephedra californica,8.48,48.56,7.9,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,21,290,285,170,Ephedra californica,11.25,40.24,5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,22,425,290,162,Ephedra californica,11.36,39.62,7,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,23,197,195,138,Ephedra californica,10.81,38.98,5.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,24,296,288,220,Ephedra californica,11.04,43.26,11.2,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,25,350,320,260,Ephedra californica,11.31,43.21,6.09,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,26,274,260,153,Ephedra californica,10.98,41.18,7.4,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,27,411,310,168,Ephedra californica,10.69,40.66,9.5,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,28,297,291,230,Ephedra californica,8.78,43.35,6.9,shrub,14-02-2023,9:37
ng,Cuyama,Cuyama_3,29,298,293,178,Ephedra californica,9.3,44,7.3,shrub,14-02-2023,9:37
