# Omega OM-92b Logger 
Time Zone UTC + -4 hours

# Configuration :
DeviceID,15502
LoggingStart,Button Press
LoggingStartTime,04.06 12:50:00
LoggingInterval,1 hour
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,NA
TemperatureAlarmThresholdLow,NA
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,NA
HumidityAlarmThresholdLow,NA
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2021-03-01,16:50:00,,2021-03-01 16:50:00,21.4218,21.2131,-1.68303
,,2,2021-03-01,17:50:00,,2021-03-01 17:50:00,21.5072,19.9802,-2.4239
,,3,2021-03-01,18:50:00,,2021-03-01 18:50:00,21.363,18.912,-3.28276
,,4,2021-03-01,19:50:00,,2021-03-01 19:50:00,21.1921,20.7828,-2.15225
,,5,2021-03-01,20:50:00,,2021-03-01 20:50:00,21.1227,19.4736,-3.08775
,,6,2021-03-01,21:50:00,,2021-03-01 21:50:00,21.0693,20.9995,-2.11388
,,7,2021-03-01,22:50:00,,2021-03-01 22:50:00,21.1067,20.325,-2.52443
,,8,2021-03-01,23:50:00,,2021-03-01 23:50:00,21.1067,19.1684,-3.31307
,,9,2021-03-02,00:50:00,,2021-03-02 00:50:00,21.0693,19.0341,-3.43812
,,10,2021-03-02,01:50:00,,2021-03-02 01:50:00,20.9945,20.2731,-2.6519
,,11,2021-03-02,02:50:00,,2021-03-02 02:50:00,21.0372,17.9721,-4.23132
,,12,2021-03-02,03:50:00,,2021-03-02 03:50:00,20.9945,19.4675,-3.19772
,,13,2021-03-02,04:50:00,,2021-03-02 04:50:00,20.9838,19.4461,-3.22128
,,14,2021-03-02,05:50:00,,2021-03-02 05:50:00,20.9144,18.7381,-3.77526
,,15,2021-03-02,06:50:00,,2021-03-02 06:50:00,21.2936,19.5651,-2.88361
,,16,2021-03-02,07:50:00,,2021-03-02 07:50:00,21.3523,21.149,-1.78198
,,17,2021-03-02,08:50:00,,2021-03-02 08:50:00,21.3203,22.0127,-1.26369
,,18,2021-03-02,09:50:00,,2021-03-02 09:50:00,21.3523,21.03,-1.85864
,,19,2021-03-02,10:50:00,,2021-03-02 10:50:00,21.4057,20.3128,-2.28463
,,20,2021-03-02,11:50:00,,2021-03-02 11:50:00,21.4218,21.3779,-1.57775
,,21,2021-03-02,12:50:00,,2021-03-02 12:50:00,21.3951,19.1043,-3.12057
,,22,2021-03-02,13:50:00,,2021-03-02 13:50:00,21.379,21.2589,-1.68931
,,23,2021-03-02,14:50:00,,2021-03-02 14:50:00,21.379,21.3901,-1.6056
,,24,2021-03-02,15:50:00,,2021-03-02 15:50:00,21.4324,26.0197,1.13583
,,25,2021-03-02,16:50:00,,2021-03-02 16:50:00,21.4324,23.566,-0.235033
,,26,2021-03-02,17:50:00,,2021-03-02 17:50:00,21.4057,22.504,-0.890416
,,27,2021-03-02,18:50:00,,2021-03-02 18:50:00,21.3951,25.7603,0.964621
,,28,2021-03-02,19:50:00,,2021-03-02 19:50:00,21.4057,20.8591,-1.925
,,29,2021-03-02,20:50:00,,2021-03-02 20:50:00,21.4485,27.0542,1.69346
,,30,2021-03-02,21:50:00,,2021-03-02 21:50:00,21.4218,23.9139,-0.042187
,,31,2021-03-02,22:50:00,,2021-03-02 22:50:00,21.4057,23.4012,-0.354066
,,32,2021-03-02,23:50:00,,2021-03-02 23:50:00,21.1387,24.921,0.28766
,,33,2021-03-03,00:50:00,,2021-03-03 00:50:00,21.1814,23.4012,-0.542991
,,34,2021-03-03,01:50:00,,2021-03-03 01:50:00,21.1921,25.5802,0.694499
,,35,2021-03-03,02:50:00,,2021-03-03 02:50:00,21.1921,24.4724,0.0820472
,,36,2021-03-03,03:50:00,,2021-03-03 03:50:00,21.1067,24.2802,-0.0990198
,,37,2021-03-03,04:50:00,,2021-03-03 04:50:00,21.1067,24.6159,0.0903216
,,38,2021-03-03,05:50:00,,2021-03-03 05:50:00,21.096,26.7338,1.22556
,,39,2021-03-03,06:50:00,,2021-03-03 06:50:00,21.4218,24.9302,0.532863
,,40,2021-03-03,07:50:00,,2021-03-03 07:50:00,21.4912,24.0604,0.100679
,,41,2021-03-03,08:50:00,,2021-03-03 08:50:00,21.6461,23.1449,-0.303283
,,42,2021-03-03,09:50:00,,2021-03-03 09:50:00,21.5766,23.5874,-0.101016
,,43,2021-03-03,10:50:00,,2021-03-03 10:50:00,21.5339,24.9943,0.663588
,,44,2021-03-03,11:50:00,,2021-03-03 11:50:00,21.5446,25.9678,1.20363
,,45,2021-03-03,12:50:00,,2021-03-03 12:50:00,21.5446,28.1254,2.32027
,,46,2021-03-03,13:50:00,,2021-03-03 13:50:00,21.5606,26.8315,1.67383
,,47,2021-03-03,14:50:00,,2021-03-03 14:50:00,21.4645,27.1855,1.77486
,,48,2021-03-03,15:50:00,,2021-03-03 15:50:00,21.5339,30.1915,3.31131
,,49,2021-03-03,16:50:00,,2021-03-03 16:50:00,21.5446,30.7683,3.589
,,50,2021-03-03,17:50:00,,2021-03-03 17:50:00,21.5873,27.2099,1.89265
,,51,2021-03-03,18:50:00,,2021-03-03 18:50:00,21.63,27.7073,2.18332
,,52,2021-03-03,19:50:00,,2021-03-03 19:50:00,21.6621,28.4398,2.57774
,,53,2021-03-03,20:50:00,,2021-03-03 20:50:00,21.2936,31.4641,3.68828
,,54,2021-03-03,21:50:00,,2021-03-03 21:50:00,21.3203,34.3328,4.95803
,,55,2021-03-03,22:50:00,,2021-03-03 22:50:00,21.3203,29.3523,2.72793
,,56,2021-03-03,23:50:00,,2021-03-03 23:50:00,21.2829,28.6564,2.35788
,,57,2021-03-04,00:50:00,,2021-03-04 00:50:00,21.3203,28.51,2.31806
,,58,2021-03-04,01:50:00,,2021-03-04 01:50:00,21.3203,27.0603,1.58686
,,59,2021-03-04,02:50:00,,2021-03-04 02:50:00,21.2936,24.9332,0.425826
,,60,2021-03-04,03:50:00,,2021-03-04 03:50:00,21.2829,23.798,-0.226352
,,61,2021-03-04,04:50:00,,2021-03-04 04:50:00,21.3203,23.9322,-0.117315
,,62,2021-03-04,05:50:00,,2021-03-04 05:50:00,21.3096,23.9475,-0.117554
,,63,2021-03-04,06:50:00,,2021-03-04 06:50:00,21.6621,24.0299,0.227516
,,64,2021-03-04,07:50:00,,2021-03-04 07:50:00,21.6728,21.8448,-1.07356
,,65,2021-03-04,08:50:00,,2021-03-04 08:50:00,21.8437,19.1165,-2.74273
,,66,2021-03-04,09:50:00,,2021-03-04 09:50:00,21.63,18.2162,-3.56612
,,67,2021-03-04,10:50:00,,2021-03-04 10:50:00,21.63,18.6679,-3.23777
,,68,2021-03-04,11:50:00,,2021-03-04 11:50:00,21.63,16.4645,-4.91211
,,69,2021-03-04,12:50:00,,2021-03-04 12:50:00,21.6728,17.1878,-4.30688
,,70,2021-03-04,13:50:00,,2021-03-04 13:50:00,21.6461,21.1307,-1.54922
,,71,2021-03-04,14:50:00,,2021-03-04 14:50:00,21.6621,17.319,-4.21433
,,72,2021-03-04,15:50:00,,2021-03-04 15:50:00,21.6888,18.5275,-3.29088
,,73,2021-03-04,16:50:00,,2021-03-04 16:50:00,21.8116,18.4695,-3.23222
,,74,2021-03-04,17:50:00,,2021-03-04 17:50:00,21.7155,18.7198,-3.13034
,,75,2021-03-04,18:50:00,,2021-03-04 18:50:00,21.8009,17.0657,-4.29751
,,76,2021-03-04,19:50:00,,2021-03-04 19:50:00,21.7742,19.324,-2.6543
,,77,2021-03-04,20:50:00,,2021-03-04 20:50:00,21.8437,20.9354,-1.51127
,,78,2021-03-04,21:50:00,,2021-03-04 21:50:00,21.5446,16.8276,-4.69228
,,79,2021-03-04,22:50:00,,2021-03-04 22:50:00,21.5339,16.5042,-4.95809
,,80,2021-03-04,23:50:00,,2021-03-04 23:50:00,21.4752,16.968,-4.63845
,,81,2021-03-05,00:50:00,,2021-03-05 00:50:00,21.4912,15.1003,-6.16289
,,82,2021-03-05,01:50:00,,2021-03-05 01:50:00,21.4645,15.1797,-6.11564
,,83,2021-03-05,02:50:00,,2021-03-05 02:50:00,21.4912,16.4858,-5.00737
,,84,2021-03-05,03:50:00,,2021-03-05 03:50:00,21.4752,16.5499,-4.96902
,,85,2021-03-05,04:50:00,,2021-03-05 04:50:00,21.5179,16.0037,-5.37782
,,86,2021-03-05,05:50:00,,2021-03-05 05:50:00,21.4752,13.9712,-7.18934
,,87,2021-03-05,06:50:00,,2021-03-05 06:50:00,21.7742,14.2794,-6.66731
,,88,2021-03-05,07:50:00,,2021-03-05 07:50:00,21.8276,15.2163,-5.79265
,,89,2021-03-05,08:50:00,,2021-03-05 08:50:00,21.9131,13.6233,-7.16922
,,90,2021-03-05,09:50:00,,2021-03-05 09:50:00,21.7422,13.6507,-7.27854
,,91,2021-03-05,10:50:00,,2021-03-05 10:50:00,21.8544,13.8796,-6.9735
,,92,2021-03-05,11:50:00,,2021-03-05 11:50:00,21.9131,13.8338,-6.96983
,,93,2021-03-05,12:50:00,,2021-03-05 12:50:00,21.9131,13.1228,-7.65436
,,94,2021-03-05,13:50:00,,2021-03-05 13:50:00,21.9131,13.3669,-7.41568
,,95,2021-03-05,14:50:00,,2021-03-05 14:50:00,21.8544,14.8928,-6.0533
,,96,2021-03-05,15:50:00,,2021-03-05 15:50:00,21.8544,14.8775,-6.06674
,,97,2021-03-05,16:50:00,,2021-03-05 16:50:00,21.8864,14.6731,-6.22242
,,98,2021-03-05,17:50:00,,2021-03-05 17:50:00,21.9451,14.548,-6.28759
,,99,2021-03-05,18:50:00,,2021-03-05 18:50:00,21.8544,14.7677,-6.16387
,,100,2021-03-05,19:50:00,,2021-03-05 19:50:00,21.9291,14.9325,-5.95855
,,101,2021-03-05,20:50:00,,2021-03-05 20:50:00,21.8864,15.2041,-5.75606
,,102,2021-03-05,21:50:00,,2021-03-05 21:50:00,21.9291,16.0281,-5.02584
,,103,2021-03-05,22:50:00,,2021-03-05 22:50:00,21.9558,15.9823,-5.04212
,,104,2021-03-05,23:50:00,,2021-03-05 23:50:00,21.9986,15.7259,-5.22135
,,105,2021-03-06,00:50:00,,2021-03-06 00:50:00,21.9879,14.2916,-6.48596
,,106,2021-03-06,01:50:00,,2021-03-06 01:50:00,21.9451,14.6761,-6.17275
,,107,2021-03-06,02:50:00,,2021-03-06 02:50:00,21.8864,14.4106,-6.45849
,,108,2021-03-06,03:50:00,,2021-03-06 03:50:00,21.9718,13.8369,-6.92032
,,109,2021-03-06,04:50:00,,2021-03-06 04:50:00,22.0253,13.1777,-7.51176
,,110,2021-03-06,05:50:00,,2021-03-06 05:50:00,21.9024,13.3486,-7.4419
,,111,2021-03-06,06:50:00,,2021-03-06 06:50:00,21.9879,12.9,-7.81672
,,112,2021-03-06,07:50:00,,2021-03-06 07:50:00,21.9558,12.7718,-7.97085
,,113,2021-03-06,08:50:00,,2021-03-06 08:50:00,21.9718,13.547,-7.19561
,,114,2021-03-06,09:50:00,,2021-03-06 09:50:00,21.9024,13.3669,-7.42413
,,115,2021-03-06,10:50:00,,2021-03-06 10:50:00,21.9024,13.6873,-7.11671
,,116,2021-03-06,11:50:00,,2021-03-06 11:50:00,21.9986,14.0108,-6.73638
,,117,2021-03-06,12:50:00,,2021-03-06 12:50:00,21.9451,14.4808,-6.34811
,,118,2021-03-06,13:50:00,,2021-03-06 13:50:00,21.9718,14.6761,-6.15142
,,119,2021-03-06,14:50:00,,2021-03-06 14:50:00,21.9451,14.3374,-6.47823
,,120,2021-03-06,15:50:00,,2021-03-06 15:50:00,21.9558,13.724,-7.03963
