"ID","title","location","lat","long","days","captures","richness","animal.name","scientific.name","year","n_cams","bait","month.of.study","temperature","notes","mean.temp.sampling.period","max.temp.sampling.period","mean.annual.temp","n_sites","sample.design","X22","system","ecosystem","capture_rate","var_caprate","richness_rate","var_richnessrate"
15.1,"Terrestrial mammal species richness and composition in three small forest patches within an oil palm landscape in Sabah, Malaysian Borneo","Tabin Wildlife reserve, Sabah Malaysia, Northern Borneo",5.22,118.63,3733,1871,26,NA,"Muntiacus spp., Rusa unicolor, Bos javanicus, Sus barbatus, Tragulus spp., Neofelis diardi, Pardofelis badia, Prionailurus bengalensis, Pardofelis marmorata, Martes flavigula, Mustela nudipes, Mydaus javanensis, Helarctos malayanus, Hemigalus derbyanus , Viverra tangalunga, Paradoxurus hermaphroditus, Herpestes spp., Echinosorex gymnura, Macaca fascicularis, Macaca nemestrina, Pongo pygmaeus morio, Elephas maximus borneensis, Hystrix brachyura, Hystrix crassispinis, Trichys fasciculata , Tupaia spp.","2009, 2010",15,"no",NA,NA,NA,NA,NA,30.5,15,"trail",NA,"tropical forest","tropical",0.50120546477364,0.000134263451586831,0.00696490758103402,1.86576683124405e-06
17.1,"How long is enough to detect terrestrial animals? Estimating the minimum trapping effort on camera traps","Gutianshan National Nature Reser",29.25,118.12,13824,1727,10,NA,"Bambusicola thoracicus, Lophura nycthemera, Syrmaticus ellioti, Pucrasia macrolopha, Picus canus, Pitta nympha, Zoothera dauma, Turdus obscurus, Turdus pallidus, Garrulax pectoralis, Niviventer confucianus, Leopoldamys edwardsi , Callosciurus erythraeus, Arctonyx collaris, Melogale moschata, Meles meles, Sus scrofa, Muntiacus reevesi , Muntiacus crinifrons","2009-2011",19,"no","April-September",NA,NA,NA,NA,15.3,600,"haphazard",NA,"evergreen forest","coniferous",0.124927662037037,9.03701258948474e-06,0.00072337962962963,5.232780885631e-08
18.1,"Impact of land use on occupancy and abundance of terrestrial mammals in the Drakensberg Midlands, South Africa","Fort Nottingham and Mooi River, South Africa",-10.48,30.01,1320,3575,25,NA,NA,"2012-2013",15,"no","October-January",NA,NA,NA,NA,21.58,44,"grid",NA,"woodland","deciduous",2.70833333333333,0.00205176767676768,0.0189393939393939,1.43480257116621e-05
19.1,"Terrestrial mammal responses to habitat structure and quality of remnant riparian forests in an Amazonian cattle-ranching landscape","Alta Floresta, Brazil",-9.88,-56.48,10441,4459,25,NA,NA,"2013, 2014",45,"no","May-October",NA,NA,NA,NA,27,10,"distance",NA,"tropical forest","tropical",0.427066372952782,4.09028228093844e-05,0.00239440666602816,2.29327331292803e-07
24.1,"Grain-dependent responses of mammalian diversity to land use and the implications for conservation set-aside","Sabah Malaysian Borneo",5.9788,116.0753,26251,12788,13,NA,NA,"20112-2014",543,"no","May-March",NA,NA,NA,NA,26.9,3,"grid, haphazard",NA,"tropical forest, plantatation","tropical",0.487143346920117,1.85571348489626e-05,0.000495219229743629,1.88647758082979e-08
29.1,"Flood-mediated use of habitat by large and midsized mammals in the Brazilian Pantanal","Rio Platano, Honduras",15.74,-84.65,2040,116,18,NA,NA,"2008",48,"no","May-August",NA,NA,NA,NA,26.6,19,"distance",NA,"tropical forest","tropical",0.0568627450980392,2.78738946559016e-05,0.00882352941176471,4.32525951557093e-06
30.1,"Estimating mammalian species richness and occupancy in tropical forest canopies with arboreal camera traps","Maijuna-Kichwa Conservation area",-3.1,-72.9,3147,703,18,NA,"Alouatta seniculus, Lagothrix lagothrica, Callicebus lucifer, Callicebus discolor, Pithecia hirsuta, Aotus vociferans, Cebus yuracus, Saimiri macrodon, Leontocebus nigricollis, Cebuella pygmaea, Tamandua tetradactyla, Choloepus didactylus, Sciurus igniventris, Sciurus igniventris, Coendou prehensilis, Eira barbara, Potos flavus, Bassaricyon alleni, Caluromys lanatus","2013-2014",42,"no","November-December",NA,NA,NA,NA,NA,1,"grid",NA,"tropical forest","tropical",0.223387353034636,7.0984224033885e-05,0.00571973307912297,1.81751924980075e-06
31.1,"Logging and indigenous hunting impacts on persistence of large Neotropical animals","Iwokrama Forest, Guyana",4.5,-59,808,270,17,NA,NA,NA,25,"no","June-August",NA,NA,NA,NA,2,1,"diameter",NA,"tropical forest","tropical",0.334158415841584,0.000413562395843545,0.021039603960396,2.60391138123713e-05
31.2,"Logging and indigenous hunting impacts on persistence of large Neotropical animals",NA,4.5,-59,805,180,15,NA,NA,NA,27,"no",NA,NA,NA,NA,NA,NA,1,"diameter",NA,"tropical forest","tropical",0.22360248447205,0.000277767061455962,0.0186335403726708,2.31472551213302e-05
33.1,"A Direct Comparison of Camera-Trapping and Sign Transects for Monitoring Wildlife in the Wanglang National Nature Reserve, China","Wanlang National Centre Reserve, China",32.93,104.05,3793,312,21,NA,NA,"2004-2005",12,"no","Septmeber-October",NA,NA,NA,NA,23.2,2,"trail, distance",NA,"mixed forest, meadow","deciduous",0.0822567888215133,2.16864721385482e-05,0.00553651463221724,1.45966639394074e-06
