ID,title,location,lat,long,days,captures,richness,animal name,scientific name,year,number cams,bait ,month of study,temperature ,notes,mean temp sampling period,max temp sampling period,mean annual temp,n_sites,sample design,,system,ecosystem
65.1,"Mammals recorded in isolated remnants of Atlantic Forest in southern Goias, Brazil","Atlantic Forest, Brazil",-18.92,-51.7,3529,,22,,"Didelphis albiventris, Dasypus novemcinctus, Cabassous unicinctus, Priodontes maximus, Myrmecophaga tridactyla, Tamandua tetradactyla, Sapajus cay, Cerdocyon thous, Leopardus pardalis, Leopardus wieddi , Puma concolor, Puma yagouaroundi, Eira barbara, Nasua nasua, Procyon cancrivorus, Tapirus terrestris, Pecari tajacu, Tayassu pecari , Mazama americana, Mazama gouazoubira, Cuniculus paca, Dasyprocta azarae, ","2011, 2015-2016",,no ,"July, December-March",,,30,,,38,distance,,tropical forest,tropical
66.1,Urban forest fragmentation impoverishes native mammalian biodiversity in the tropics,"Greater Kuala Lumpur, Malaysia ",3,102,1680,,19,,,2016-2017,,no ,October-October,,,,,,7,trails ,,urban,tropical
67.1,Bird and mammal use of vernal pools along an urban development gradient,"Downtown Bankor, ",44.8,-68.77,8725,,59,,,2014-2016,120,no,May-Septmeber,,,,,,2,height,,mixed forest,deciduous
68.1,"Activity patterns and resource partitioning: seven species at watering sites in the Altun Mountains, China","Altun Mountains, China",39.16,91.65,7098,,7,"Wild camel, Kiang, Goitered gazelle, Argali, Blue sheep, Red fox, Wolf ",,2010-2012,,no,July-September,,,,,13,,distance,,mountain ,deciduous
69.1,Selective logging causes the decline of large-sized mammals including those in unlogged patches surrounded by logged and agricultural areas,logged,6.1,101.88,3730,,16,,"Tapirus indicus, Helarctos malayanus, Muntiacus muntjak, Macaca fascicularis, Macaca nemestrina, Trachypithecus, cristatus, Hystrix brachyura, Hylobates lar, Sus scrofa, Tragulus javanicus, Tragulus javanicus, Tragulus napu, Tupaia glis, Rattus exulans, Viverra tangalunga, Hemigalus derbyanus, Prionailurus bengalensis",,,no,,,,,,,120,distance,,tropical forest,tropical
70.1,Identifying critical limits in oil palm cover for the conservation of terrestrial mammals in Colombia,"Llanos Orientales, Colombia",4.13,-73.66,12403,,24,,,2014-2016,,no,September-January,,,,,,24,distance,,"riperian, oil palm",tropical
71.1,Using large spatial scale camera trap data and hierarchical occupancy models to evaluate species richness and occupancy of rare and elusive wildlife communities in southwest China,"Baima Snow Mountain Reserve, China",28.32,99.05,10095,,30,,,2013-2015,,no,October-February,,,,,,58,"distance, heterogeneity",,mountain,deciduous
72.1,Ecological correlates of mammal beta-diversity in Amazonian land-bridge islands: from small- to large-bodied species,Balbina Hydroelectric Reserve,-1.8,-59.48,48350,6290,22,,,"2011, 2012",16,no,,,,,,,4,transect ,,tropical forest,tropical
73.1,"Large mammal richness in Llanganates National Park, Ecuador","Central Andes, Ecuador ",-1.14,-78.24,2320,344,13,,,2016,58,no ,February-August,,,,,,2,haphazard,,mountain,tropical
74.1,Estimating the response of wildlife communities to coastal dune construction,"Kennedy Space Center/Merritt Island National Wildlife Refuge
(MINWR) along the eastern shore of Florida, U.S.A",28.57,-80.64,4502,2537,33,,,2015-2016,196,no ,June-June,,,,,,7,distance,,coastal,aquatic
75.1,Seasonal dynamics of terrestrial vertebrate abundance between Amazonian flooded and unflooded forests,"Médio Juruá Extractive Reserve, Brazil",-5.35,-67.7,10447,4059,21,,,"2013, 2015",6,no,March-April,,,,,27.1,1,distance,,tropical,tropical
76.1,Biodiversity conservation in the Madrean sky islands: community homogeneity of medium and large mammals in northwestern Mexico,"Sorona, Mexico",29.3,-110.33,6668,8243,25,,"Odocoileus virginianus, Odocoileus hemionus , Pecari tajacu , Procyon lotor , Nasua narica , Bassariscus astutus , Spilogale gracilis , Mephitis mephitis , Mephitis macroura , Conepatus leuconotus , Taxidea taxus, Ursus americanus , Urocyon cinereoargenteus , Canis latrans , Panthera onca , Puma concolor , Lynx rufus , Leopardus pardalis , Sylvilagus floridanus , Sylvilagus audubonii , Lepus alleni , Otospermophilus variegatus , Sciurus nayaritensis , Sciurus arizonensis , Didelphis virginiana ",2009,10,no,April-November,,,,,17,1,tree mount,,dryland,desert
77.1,Supplementing non-target taxa: bird feeding alters the local distribution of mammals,"Ithaca, New York, USA",42.46,-76.45,163,,12,,,2015,17,no,January-December,,,,,,1,distance,,mixed forest,deciduous
78.1,"Abundance and composition of the medium to large-sized mammals in a private area of a REDD plus project in Acre, Brazil","Manoel Urbano, State of Acre, Brazil",-9.05,-69.45,1859,,19,,,2013-2014,10,no,June-May,,,,,,5,grid,,deciduous forest,deciduous
79.1,The application of camera trapping to assess Rallidae species richness within palustrine wetland habitat in South Africa," Ingula Nature Reserve, South Africa",-28.2,29.56,566,445,15,,"Ixobrychus minutus, Microcarbo africanus, Amaurornis flavirostra, Porzana porzana, Balearica regulorum, Bugeranus carunculatus , Anas undulata , Sarothrura rufa, Plectropterus gambensis, Circus ranivorus, Ardea cinerea, Alcedo cristata, Tyto capensis, Rallus caerulescens, Gallinago nigripennis",,9,no ,,,,,,,1,haphazard,,grassland,grassland
80.1,Camera traps at northern river otter latrines enhance carnivore detectability along riparian areas in eastern North America,"New Jersey Great Swamps Park, USA",40.71,-74.47,1018,,8,"Raccoon, Red fox, River otter, Mink, Opossum, Coyote, Weasel, Black bear",,2014-2015,,no,August-February,,,,,,,"pairs, distance",,riperian,deciduous
81.1,A Comparison of Survey Techniques for Medium- to Large-sized Mammals in Forested Wetlands,"Bull Neck Swamp Research Forest, USA",36.58,-76.45,,1010,15,,,,9,no,,,,,,16,9,cell,,swamp,aquatic
82.1,Effects of hunting and fragmentation on terrestrial mammals in the Chiquitano forests of Bolivia,"Chiquitano Forest, Bolivia",-15,-62,4119,,21,,,2008,24,no,September,,,,,,6,transect,,subtropical forest,tropical
83.1,Restored Wetlands Can Support Mammalian Assemblages Comparable to Those in Nonmitigated Reference Wetlands,"Summit County, Ohio, USA",41.3,-81.39,120,,9,,"Btarina brevicauda, Didetphis virginiana, Marmota monax, Mephitis mephitis, Microtus pennsytvanicus, Musteta frenata, Neovison vison, Peromyscus teucopus, Procyon lotor",2009,,yes,June-August,,,,,,,transect,,wetland,aquatic
84.1,Field calibration of blowfly-derived DNA against traditional methods for assessing mammal diversity in tropical forests,"Ulu Gombak Forest Reserve (UGFR) in Selangor, Malaysia",3.33,101.75,1440,,9,,,,24,no,,,,,,,2,line,,tropical forest,tropical
84.2,Field calibration of blowfly-derived DNA against traditional methods for assessing mammal diversity in tropical forests,"embat Forest Reserve (TFR) in Terengganu, Malaysia",5.18,102.68,,,,,,,44,no ,,,,,,,27,line,,tropical forest,tropical
85.1,The diversity and activity patterns of wild felids in a secondary forest in Peninsular Malaysia,"Jerangau Forest Reserve, Terengganu",4.91,103.1,5972,,6,,,2000-2001,24,no ,February-October,,,,,,1,distance,,"oil palm, forest",tropical
86.1,"Wild felid diversity and activity patterns in Sabangau peat-swamp forest, Indonesian Borneo","Sabanau Forest, Indonesia",-2.55,113.83,5777,,4,,"Pardofelis marmorata, Prionailurus planiceps, Prionailurus bengalensis, Neofelis diardi",2008-2009,44,no ,May-October,,,,,,1,trail,,"swamp, forest",tropical
87.1,"The importance of secondary forest blocks for terrestrial mammals within an Acacia/secondary forest matrix in Sarawak, Malaysia","Acacia Plantation, Bintulu, Malaysia ",3.17,113.04,5679,,27,,"Sus barbatus, Rucervus unicolor, Muntiacus spp., Tragulus kanchil, Tragulus napu, Neofelis diardii, Pardofelis marmorata, Prionailurus bengalensis, Martes flavigula, Herpestes brachyurus, Herpestes semitorquatus, Paradoxurus hermaphroditus, Hemigalus derbyanus, Viverra tangalunga, Tupaia spp., Macaca nemestrina, Macaca fascicularis, Thecurus crassispinis, Hystrix brachyura, Trichys fasciculata, Sundasciurus spp., Callosciurus spp., Lariscus spp., Muridae spp., Helarctos malayanus, Echinosorex gymnurus, Lutra spp.",2005-2007,212,no ,September-July,,,,,,2,blocks,,plantation ,tropical
88.1,Assessing the Status of Wild Felids in a Highly-Disturbed Commercial Forest Reserve in Borneo and the Implications for Camera Trap Survey Design,"Kalabakan Forest Reserve, Malaysia ",4.55,117.26,873,504,4,,,2011,135,no ,May-December,,,,,,1,grid,,deciduous forest,deciduous
89.1,"Dispersal of Canarium euphyllum (Burseraceae), a large-seeded tree species, in a moist evergreen forest in Thailand","Khao Yai National Park, Thailand",14.44,101.37,175,,7,,"Buceros bicornis, Aceros undulatus, Anorrhinus austeni, Anthracoceros albirostris, Ducula badia, Ratufa bicolor, Callosciurus finlaysonii",,,no ,,,,,,,,,,evergreen forest,deciduous
90.1,"The diversity, status and conservation of small carnivores in a montane tropical forest in northern Laos","Louey National Protected Area, Laos ",20,103.5,8499,472,14,,"Mustela strigidorsa, Martes flavigula, Arctonyx collaris, Aonyx cinereus, Viverra zibetha, Viverricula indica, Prionodon pardicolor, Paguma larvata, Paradoxurus
hermaphroditus, Chrotogale owstoni, Herpestes urva, Prionailurus bengalensis, Pardofelis temminckii, Pardofelis marmorata",2003-2006,250,no ,March-April,,,,,17.5,5,grid,,"evergreen forest, deciduous forest",deciduous
91.1,"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program","Caxiuana National Forest, Brazil",-1.79,-51.43,2838.35,236,17,,"Psophia vividis, Mitu tuberosa, Tayassu tajacu, Tapirus terrestris, Puma concolor, Priodontes
maximus, Panthera onca, Nasua nasua, Myrmecophaga
tridactyla, Mazama
gouazoubira, Mazama
americana, Leopardus
pardalis, Eira Barbara, Didelphis
marsupialis, Dasypus
novemcinctus, Dasyprocta agouti, Agouti paca",2002-2003,24,no ,November-December,,,,,26,24,,12,tropical forest,tropical
92.1,Opportunistic use of camera traps to assess habitat-specific mammal and bird diversity in northcentral Namibia,"Waterberg Plateau Park, Namabia ",-20.46,17.21,2265,,62,,,2006,19,no ,June-October,,,,,,2,"haphazard, trail",,"savanna, dryland",grassland
93.1,Mammal diversity and conservation in a secondary forest in Peninsular Malaysia,"Jerangau Forest Reserve, Malaysia ",4.91,103.08,5972,2121,33,,,2000-2001,24,no ,February-October,,,,,,1,trail,,deciduous forest,deciduous
94.1,Private forest reserves can aid in preserving the community of medium and large-sized vertebrates in the Amazon arc of deforestation,"Cantao State Park, Brazil",-9.6,-50.05,7929,,34,,,2005-2007,16,no ,July-November ,,,,,,2,"distance, trail",,tropical rainforest,tropical
95.1,Camera trapping rare and threatened avifauna in west-central Sumatra,,-1.38,120,5990,248,9,,,2001-2002,90,yes,June-June,,,,,,3,"distance, transect",,mountain,deciduous
96.1,Gauging the impact of management expertise on the distribution of large mammals across protected areas,"Qinling Mountain, China",33.96,107.61,16521,5322,38,,,2002-2008,,yes,,,,,,,3,"grid, mounted",,mountain,deciduous
97.1,Ecological Relationships of Meso-Scale Distribution in 25 Neotropical Vertebrate Species,"Amapá National Forest, Brazil",0.925,-51.59,1800,649,25,,"Crax alector, Psophia crepitans, Crypturellus erythropus, Tinamus major, Mazama americana, Mazama nemorivaga, Pecari tajacu, Tapirus terrestris, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Eira barbara, Nasua nasua, Procyon cancrivorus, Speothos venaticus, Dasypus kappleri, Dasypus novemcinctus, Myrmecophaga tridactyla, Tamandua tetradactyla , Didelphis marsupialis, Cuniculus paca, Dasyprocta leporina, Myoprocta acouchy, Sciurus aestuans",2013-2014,30,no ,"October-December, March-June",,,,,,1,trail,,tropical forest,tropical
98.1,The road less travelled: assessing variation in mammal detection probabilities with camera traps in a semi-arid biodiversity hotspot,s Groenefontein Nature Reserve,-33.64,21.65,3149,802,23,,,2012,,no ,August-December,,,,,,46,distance,,subtropical forest,tropical
99.1,"Royal Manas National Park, Bhutan: a hot spot for wild felids","Royal Manas National Park, Bhutan",27.03,90.71,2036,,6,,,2010-2011,,no ,November-February,,,,,,30,distance,,"subtropical forest, temperate forest",tropical
100.1,"Disturbance impacts on large rain-forest vertebrates differ with edge type and regional context in Sulawesi, Indonesia","Sulawesi, Indonesia",-1.8479,120.5279,3545,973,11,,,2013-2014,,no ,May-August,,,,,,2,distance,,tropical forest,tropical
101.1,Use of camera-traps in natural trails and shelters for the mammalian survey in the Atlantic Forest,"Atlantic Forest, Brazil",-27.16,-54,2154,,13,,,2009,14,no ,"May, July, September, November",,,-3,22,,2,trail,,deciduous forest,deciduous
102.1,Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos,"ien Shan Mountains, SaryChat Kyrgyzstan",41.96,78.53,1140,117,6,,,2005,44,no ,June-December,,,,,,1,distance,,Mountain,deciduous
102.2,Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos,"Jangart,  Kyrgyzstan",41.85,78.98,1220,118,7,,,,48,no ,,,,,,,1,distance,,Mountain,deciduous
103.1,Comparing survey methods to assess the conservation value of a community-managed protected area in western Tanzania,"Mlele Forest Reserve, Tanzania",-6.67,31.75,726,,14,,,"2008, 2009, 2010",36,no,,,,,,,1,transect,,woodland forest,deciduous
104.1,Medium- and large-sized mammals in a steppic savanna area of the Brazilian Pampa: survey and conservation issues of a poorly known fauna,"Ibicui River, Brazil",-29.75,-54.78,,341,18,,"Tamandua tetradactyla, Alouatta caraya, Leopardus colocolo, Leopardus geoffroyi, Leopardus wiedii, Puma yagouaroundi, Mazama gouazoubira and Cuniculus paca",2009-2010,173,no,May-October,,,,,,2,distance,,savanna,grassland
105.1,Biogeography and conservation of non-volant mammals from the Urucum Mountains: a Chiquitano dry forest ecoregion in western Brazil,"Urucum mountain range, brazil",-19.19278,-57.604,1276,,19,,,2012-2014,,yes,November-May,,,,,,3,distance,,"riperian forest, savannah, semi-deciduous forest",grassland
106.1,"Diversity and Activity Pattern of Wildlife Inhabiting Catchment of Hulu Terengganu Hydroelectric Dam, Terengganu, Peninsular Malaysia","Hulu Terengganu Hydroelectric Dam, Peninsular Malaysia ",5.15,102.594,29128,,32,,124,2014-2015,,no,June-December,,,,,,9,,,catchment,tropical
107.1,"Replacement of native by non-native animal communities assisted by human introduction and management on Isla Victoria, Nahuel Huapi National Park","Nahuel Huapi National Park, Argentina",-40.95,-71.55,1253,710,8,,,,8,no,,,,,,,8,transect,,woodland forest,deciduous
108.1,Diversity and distribution patterns of medium to large mammals in a silvicultural landscape in south-eastern Brazil,"Três Lagoas farm, PPBio - Angatuba, São Paulo state, southeast Brazil.",-23.35,-48.46,,1260,19,,,2015-2016,15,no,"July-April, June-July",,,,,,3,grid,,farmland,tropical
109.1,Using Camera Traps to Assess Mammal and Bird Assemblages in a Midwestern Forest,"Daniel Boone Field Station, Missouri, USA",38.65,90.85,2245,483,16,,,2015,42,no,June-July,,,24.2,,,2,height,,woodland forest,deciduous
110.1,Conservation implications for jaguars and other neotropical mammals using highway underpasses,"Yucatan Peninsula, Mexico",20.75,-87.25,10166,2559,15,,,2016-2017,28,no,July-July,,,,33,30,1,height,,urban,tropical
111.1,"Effects of logging on wildlife communities in certified tropical rainforests in East Kalimantan, Indonesia",Ratah Timber,10,114.083,46928,,75,,,2012-2014,157,no,June-July,,,,,,2,diameter,,tropical forest,tropical
112.1,Gap analysis and implications for seasonal management on a local scale,"Yanshan Mountains, China",40.56,117.43,22379,1736,15,,,2015,26,no,September-December ,,,,17.6,7.6,1,distance,,mountain,deciduous
113.1,Using terrestrial haematophagous leeches to enhance tropical biodiversity monitoring programmes in Bangladesh,Northern Bangladesh ,24.22,91.18,1334,,12,,,2014-2015,39,no,May-January,,,,23,15,1,"distance, height",,"mixed forest, plantation",deciduous
114.1,"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil",MSDR,-2,-65,2040,1154,20,,,2013-2014,51,no,,,,,,29.5,1,grid,,tropical forest,tropical
114.2,"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil",ASDR,-2.35,-64.266,2070,2289,21,,,2013-2014,50,no ,,,,,,,1,grid,,tropical forest,tropical
115.1,"Estimating mammalian diversity and relative abundance using camera traps in a tropical deciduous forest of kuldiha Wildlife Sanctuary, eastern India","Kuldiha Wildlife Sanctuary, Eastern India",21.63,86.63,915,912,20,,,2013,65,no,January-August,,,,24,16,1,grid,,semi-deciduous forest,deciduous
116.1,"Camera trapping of terrestrial animals in Tanjung Datu National Park, Sarawak, Borneo","Tanjung Datu National Park, Sarawak, Borneo",2.0554,109.642,2490,1189,21,,,2013-2015,23,no ,July-October,,,,23,,1,height,,trpical forest,tropical
117.1,Mediterranean mesocarnivores in spatially structured managed landscapes: community organisation in time and space,"Charneca, Portugal",38.7841,9.147,6496,1645,5,,,,54,no ,,,,,,,1,"distance, haphazard",,deciduous forest,deciduous
118.1,"Carnivores' diversity and conflicts with humans in Musk Deer National Park, Azad Jammu and Kashmir, Pakistan","Muzaffarabad, Pakistan ",34.73,74.78,1025,85135,7,,,2014,,no ,May-June,,,,30,15,1,"distance, height",,woodland forest,deciduous
119.1,Habitat preferences of medium/large mammals in human disturbed forests in Central Japan,"Akiyama Region, Japan",138.66,36.85,4568.6,724,13,,,"2008, 2009",30,no,June-October,,,,,10,1,height,,coniferous forest,coniferous
120.1,Tree plantations replacing natural grasslands in high biodiversity areas: How do they affect the mammal assemblage?,"Misiones Province, Argentina",-56.58,-28.25,10494,4460,34,,,2016-2017,234,no,May-March,,,,,,3,,,grassland,grassland
121.1,Camera-traps are a cost-effective method for surveying terrestrial squamates: A comparison with artificial refuges and pitfall traps,"Sydney, Australia",150.801,-35.05,2492,,10,,,2014-2015,38,yes,November-February,,,,,,1,intervals,,coastal,tropical
122.1,Multi-scale mammal responses to agroforestry landscapes in the Brazilian Atlantic Forest: the conservation value of forest and traditional shade plantations,"Bahia, Brazil",-41.28,-11.41,5241,,29,,,2013-2017,,yes,,,,,,,2,,,Atlantic forest,tropical
123.1,Remnants of native forests support carnivore diversity in the vineyard landscapes of central Chile,chile,-71.54,-35.68,1590,25000,8,,,2013-2016,53,yes,,,,,,,12,"height, distance",,forest-scrubland,mixed
124.1,Vulnerability of mammal communities to the combined impacts of anthropic land-use and climate change in the Himalayan conservation landscape of Bhutan,Bhutan,90.433,25.51,73259,,53,,,2014-2015,849,no,,,,,,,1,grid,,sub-tropical,tropical
125.1,Does patch quality drive arboreal mammal assemblages in fragmented rainforests?,"Chiapas, Mexico",-16.32,91.11,6233,1672,15,,,2018-2019,100,yes,May-May,,,,,,1,height,,sub-tropical,tropical
126.1,Landscape-scale differences among cities alter common species' responses to urbanization,multi,,,25115,,8,,,2016-2018,569,no,"June, August",,,,,,569,height,,mixed,mixed
127.1,Forest matters: Use of water reservoirs by mammal communities in cattle ranch landscapes in the Paraguayan Dry Chaco,"Estancia, Montania, Paraguay ",-21.963,-60.07,2877,22817,26,,,2015-2016,12,no,July-July,,,,,,12,distance,,mixed,mixed
128.1,Wildlife Diversity and Relative Abundance Among a Variety of Adjacent Protected Areas in the Northern Talamanca Mountains of Costa Rica,"Talamanca Mountains, Costa Rica",9.5,-83.67,10120,6181,34,,,"2009-2011, 2013-2016",55,no,,,,,,,3,trail,,tropical forest,tropical
129.1,"THE DISTRIBUTION OF MEDIUM TO LARGE MAMMALS IN SAMUNSAM WILDLIFE SANCTUARY, SARAWAK IN RELATION TO THE NEWLY CONSTRUCTED PAN-BORNEO HIGHWAY",Samunsam Sancturay ,1.432,109.4707,2001,775,20,,,"2013-2014, 2016",32,no,"July-September, August-November",,,,,,1,height,,mixed forest,mixed
130.1,Noteworthy records and updated richness of medium to large-sized mammals in arid and semi-arid ecosystems of northern Peru and southern Ecuador,SD,9.19,-75.015,1483,,10,,,2015-2016,72,no,April-September,,,,,,3,"height, distance",,tropical,tropical
130.2,Noteworthy records and updated richness of medium to large-sized mammals in arid and semi-arid ecosystems of northern Peru and southern Ecuador,DF,1.83,-78.183,2356,,27,,,2015-2016,207,no,April-September,,,,,,8,"height, distance",,tropical,tropical
131.1,Predicting the impacts of human population growth on forest mammals in the highlands of southwestern Ethiopia,"Oromia, Ethiopia ",7.546,40.634,538030,10766,32,,,2016-2017,39,yes,January-March,,,,,,95,"distance, height",,savannah,deciduous
132.1,Grassland afforestation in South America: Local scale impacts of eucalyptus plantations on Uruguayan mammals,Uruguay,-32.5228,-55.7658,9043,2000000,14,,,2015-2017,33,no,,,,,,,111,distance,,grassland,grassland
133.1,Mesocarnivore community structuring in the presence of Africa's apex predator,South Africa,-28.53,30.895,61019,13667,22,,,2013-2016,1318,no,,,,,,,2,"features, height",,savannah,mixed
134.1,"Camera-trap surveys reveal high diversity of mammals and pheasants in Medog, Tibet (vol 55, pg 1, 2020)","Medog, China",29.32,95.33,4570,,36,,,2018-2019,33,no,October-May,,,,,,5,gradient,,mixed forest,mixed
135.1,Mammal responses to spatial pattern in fire history depend on landscape context,"Southwest Victoria, Australia",-37.02,144.964,,47292,23,,,2017,140,yes,April-June,,,,,,70,"transect, height",,woodland,deciduous
136.1,Application of Multi-Species Occupancy Modeling to assess mammal diversity in northeast Bangladesh,Northeaster Bangladesh,23.685,90.356,1283,8692,27,,,2014-2015,30,no,May-January,,,,,,4,distance,,"semi-evergreen, evergreen",mixed
137.1,Mountains and traits: environmental heterogeneity and mammal assemblages along an elevational gradient in the Northern Andes,"Tabaconas Nambale National Sanctuary, Peru",5,-79.4,8825,58448,33,,,2016,,no,May-October,,,,,,85,grid,,"shrubs, grass, forest",mixed
138.1,Camera trap detection of mycophagy among co-occurring vertebrates,Norther New South Wales,-31.25,146.921,4179,,11,,,2020,30,no,January-June,,,,,,1,proximity,,deciduous forest,deciduous
139.1,Landscape-scale patterns and drivers of novel mammal communities in a human-modified protected area,"Pernambuco State, Northeast Brazil",-8.45,-37.33,2340,823,15,,,2017-2018,,no,October-February ,,,,,,1,height,,"tropical, semi-arid",tropical
140.1,Efficacy of camera traps in detecting primates in Hue Saola Nature Reserve,"Thua Thien Hue, Vietnam",16.467,107.5905,16468,267,5,,,2015-2017,46,,November-January ,,,,,,46,height,,tropical,tropical
141.1,"Relative abundances of medium and large mammals in the Cueva de Los Guacharos National Park (Huila, Colombia)", Cueva de los Gu�charos National Park,1.615,-76.102,3595,176,11,,,,18,no,,,,,,,,"distance, height",,tropical,tropical
142.1,Camera trapping of medium and large-sized mammals in western Black Sea deciduous forests in Turkey,"Zonguldak Province, Turkey",41.312,31.859,11868,3653,16,,,2014-2015,62,no,May-May,,,,,,16,grid,,deciduous forest,deciduous
143.1,Conservation value of tropical forests: Distance to human settlements matters more than management in Central Africa,Cameroon,3.733,12.41,,3464,26,,,2017,44,,February-June,,,,,,,"density, height",,tropical,tropical
144.1,Identifying conservation priorities in a defaunated tropical biodiversity hotspot,"Central Annamites landscape, Vietnam and Laos",,,17393,5261,27,,,2014-2016,140,no,November-December,,,,,,4,"distance, height",,evergree tropical rainforest,tropical
145.1,Thermally-driven thresholds in terrestrial avifauna waterhole visitation indicate vulnerability to a warming climate,"Northern Territory, Australia ",-24.279,131.558,1345,120000,35,,,2014-2015,5,no,July-September,,,,,,3,proximity,,semi-arid desert,desert
146.1,Scavenger community structure along an environmental gradient from boreal forest to alpine tundra in Scandinavia," Lierne, Bl�fjella and Skj�kerfjella, Norway",64,12,1253,217951,15,,,2012-2014,65,yes,,,,,,,2,,,tundra,coniferous
147.1,Human disturbance and prey occupancy as predictors of carnivore richness and biomass in a Himalayan hotspot,"Medog, Tibet",29.083,95.05,4570,,11,,,2018-2018,33,,October-May,,,,,,5,"distance, height",,mixed forest,mixed
148.1,Local forest proportion and proximity to large forest patches are important for native mammal conservation in Dry Chaco agroecosystems,Argentina,38.41,-63.616,2920,,19,,,2018-2019,95,,August-August,,,,,,5,grid,,"grassland, scrubland",grassland
149.1,Forest cover mediates large and medium-sized mammal occurrence in a critical link of the Mesoamerican Biological Corridor,Costa Rica,9.748,-83.7534,16904,2946,25,,,2014-2017,209,no,,,,,,,2,grid,,tropical,tropical
150.1,Soil fertility and anthropogenic disturbances drive mammal species richness and assemblage composition on tropical fluvial islands,"Rio Negro, Brazil",3.41,65.85,2940,,11,,,2017,49,no,August-November,,,,,,,grid,,neo-tropical,tropical
151.1,Assessing mammal species richness and occupancy in a Northeast Asian temperate forest shared by cattle,"Northeast Tiger Leopard National Park, Russia, China",43,131,22976,5175,21,,,2015,138,,May-October,,,,,,,"distance, polygon",,deciduous forest,deciduous
152.1,"Camera-trapping assessment of terrestrial mammals and birds in rehabilitated forest in INIKEA Project Area, Sabah, Malaysian Borneo","INIKEA Forest Area, Sabah, Malaysia ",5.25,117,7266,6534,33,,,2018-2019,74,no,April-October,,,,,,1,,,dipterocarp forest,tropical
153.2,Evaluation of bait use for mammal richness,"Sao Paolo State, Brazil",-21.5,-47.83,840,,17,,,2014,20,yes,"August-September, October",,,,,,1,grid,,semi-deciduous forest,deciduous
154.1,Medium and large mammal conservation in the City of Cape Town: factors influencing species richness in urban nature reserves,-33.924,18.424,14876,13360,14,14,,,2017-2019,90,no,June-February,,,,,,,,,"grassland, scrubland",grassland
