ID,title,location,lat,long,days,captures,richness,animal name,scientific name,year,number cams,bait ,month of study,temperature ,notes,mean temp sampling period,max temp sampling period,mean annual temp,n_sites,sample design,,system,ecosystem
11.1,Domestic dogs in Atlantic forest preserves of south-eastern Brazil: a camera-trapping study on patterns of entrance and site occupancy rates,"Santa Lucia Biological Station, Brazil",-19.96,-40.51,2142,292,21,,"Dasyprocta leporrina, Didelphis aurita, Cuniculus paca, Canis lupus, Metachirus nudicaudatus, Procyon cancrivorus, Dasypus novecinctus, Puma conclor, Pecari tajacu, Nasua nasua, Rodentia sp., Cabassous sp., Cerdocyon sous, Sylvilagus brasiliensis, Sciurus aestuans, Eira barbara, Leopardus tigris, Puma yagouaroundi, Didelphimorphia sp., Euphractus sexcinctus, Hydrochoerus hydrochaeris, Philander frenatus.",2002-2004,28,no,February-February ,,,,,19.9,12,distance ,,"tropical forest, plantation ",tropical
12.1,Large Mammals in an Agroforestry Mosaic in the Brazilian Atlantic Forest,"Una and Arataca, Bahia ",-39.23,-16.15,3975,,19,,,,36,yes,,,,,,24,18,"blocks, height",,"tropical forest, plantation",tropical
13.1,"CAMERA-TRAPPING SURVEY OF MAMMALS IN AND AROUND IMBAK CANYON CONSERVATION AREA IN SABAH, MALAYSIAN BORNEO","Imbak Canyon Conservation Area, Sabah, Malaysia ",5.59,11.69,1436,1641,27,,"Neofelis diardi, Pardofelis marmorata, Prionailurus bengalensis , Viverra tangalunga, Hemigalus derbyanus , Paguma larvata, Arctictis binturong, Prionodon linsang , Martes fl avigula , Lutrogale perspicillata , Herpestes semitorquatus, H. brachyurus, Helarctos malayanus, Muntiacus spp. , Rusa unicolor , Tragulus spp. , Sus barbatus , Manis javanica , Hystrix brachyura , Trichys fasciculata , Hystrix crassispinis, Rheithrosciurus macrotis , Macaca fascicularis , M. nemestrina , Presbytis rubicunda, P. hosei , Pongo pygmaeus ",2012,80,no,July-Septmeber,,,,,,60,"animal frequency, distance",,tropical forest,tropical
14.1,Using camera trapping and hierarchical occupancy modelling to evaluate the spatial ecology of an African mammal community,Ngamiland District of northern Botswana,-19.51,23.61,6607,8668,44,,,2015,88,no,February-July,,,,,,44,grid,,dryland,desert
15.1,"Terrestrial mammal species richness and composition in three small forest patches within an oil palm landscape in Sabah, Malaysian Borneo","Tabin Wildlife reserve, Sabah Malaysia, Northern Borneo ",5.22,118.63,3733,1871,26,,"Muntiacus spp., Rusa unicolor, Bos javanicus, Sus barbatus, Tragulus spp., Neofelis diardi, Pardofelis badia, Prionailurus bengalensis, Pardofelis marmorata, Martes flavigula, Mustela nudipes, Mydaus javanensis, Helarctos malayanus, Hemigalus derbyanus , Viverra tangalunga, Paradoxurus hermaphroditus, Herpestes spp., Echinosorex gymnura, Macaca fascicularis, Macaca nemestrina, Pongo pygmaeus morio, Elephas maximus borneensis, Hystrix brachyura, Hystrix crassispinis, Trichys fasciculata , Tupaia spp.","2009, 2010",15,no ,,,,,,30.5,15,trail ,,tropical forest,tropical
16.1,Distribution of Wild Mammal Assemblages along an Urban-Rural-Forest Landscape Gradient in Warm-Temperate East Asia,"Tokyo, Japan",35.67,139.65,,1329,12,,,2009-2010,296,no ,September-October,,,,,15.6,148,grid,,urban,deciduous
17.1,How long is enough to detect terrestrial animals? Estimating the minimum trapping effort on camera traps,Gutianshan National Nature Reser,29.25,118.12,13824,1727,10,,"Bambusicola thoracicus, Lophura nycthemera, Syrmaticus ellioti, Pucrasia macrolopha, Picus canus, Pitta nympha, Zoothera dauma, Turdus obscurus, Turdus pallidus, Garrulax pectoralis, Niviventer confucianus, Leopoldamys edwardsi , Callosciurus erythraeus, Arctonyx collaris, Melogale moschata, Meles meles, Sus scrofa, Muntiacus reevesi , Muntiacus crinifrons",2009-2011,19,no,April-September,,,,,15.3,600,haphazard,,evergreen forest,coniferous
18.1,"Impact of land use on occupancy and abundance of terrestrial mammals in the Drakensberg Midlands, South Africa","Fort Nottingham and Mooi River, South Africa",-10.48,30.01,1320,3575,25,,,2012-2013,15,no,October-January ,,,,,21.58,44,grid ,,woodland,deciduous
19.1,Terrestrial mammal responses to habitat structure and quality of remnant riparian forests in an Amazonian cattle-ranching landscape,"Alta Floresta, Brazil",-9.88,-56.48,10441,4459,25,,,"2013, 2014",45,no,May-October,,,,,27,10,distance,,tropical forest,tropical
20.1,No changes in seedling recruitment when terrestrial mammals are excluded in a partially defaunated Atlantic rainforest,"Carlos Botelho State Park, Sao Paulo, Brazil",-24.13,-47.96,497,,21,,"Didelphis aurita, Cabassous tatouay, Dasypus spp., Myrmechophaga tridactyla,  Alouatta guariba,  arachnoides, Sapajus nigritus, Cuniculus paca, Dasyprocta azarae, Cerdocyon thous,  Eira barbara,  Lontra longicaudis,  Leopardus pardalis, Leopardus spp, Nasua nasua, Procyon cancrivorus,  Panthera onca,  Puma concolor, Tapirus terrestris,  Mazama spp., Pecari tajacu",2009-2010,,no,September-June ,,,,,16,15,distance,,tropical forest,tropical
