rep,date,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple,month.day.hour
654,2019-05-07,spring,7,19,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,5.7.10
657,2019-05-07,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.7.10
658,2019-05-07,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.7.10
659,2019-05-07,spring,7,19,open,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.7.10
65,2019-08-16,summer,16,30,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,Feeding,8.16.7
660,2019-05-07,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.10
661,2019-05-07,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.10
662,2019-05-07,spring,7,19,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.10
663,2019-05-07,spring,7,19,open,Troglodytidae,Rock Wren,resident,insectivore,Active movement,5.7.10
669,2019-05-07,spring,7,19,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.10
670,2019-05-07,spring,7,19,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.10
672,2019-05-07,spring,7,19,shrub,Parulidae,Wilson's Warbler,migrant,insectivore,Active movement,5.7.10
676,2019-05-07,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.12
677,2019-05-07,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.12
679,2019-05-07,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.12
67,2019-05-01,spring,1,2,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.1.14
67,2019-08-16,summer,16,31,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.16.18
682,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
683,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
684,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
685,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
686,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
687,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
688,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
689,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
68,2019-08-16,summer,16,31,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.16.18
690,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
691,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
692,2019-05-07,spring,7,20,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.7.12
693,2019-05-07,spring,7,20,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.7.12
694,2019-05-07,spring,7,20,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.7.12
698,2019-05-07,spring,7,20,open,Odontiphoridae,Gambel's Quail,resident,herbivore,Active movement,5.7.12
69,2019-05-01,spring,1,2,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Active movement,5.1.14
69,2019-08-16,summer,16,31,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.16.18
6,2019-05-01,spring,1,1,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.1.10
6,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.14.17
700,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Active movement,5.7.12
702,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
703,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
704,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
705,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
706,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
707,2019-05-07,spring,7,20,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.7.12
70,2019-05-01,spring,1,2,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Territorial/mating,5.1.14
70,2019-08-16,summer,16,31,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.16.18
710,2019-05-07,spring,7,20,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Active movement,5.7.12
711,2019-05-07,spring,7,20,shrub,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Inactivity,5.7.12
713,2019-05-07,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.7.12
714,2019-05-07,spring,7,20,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.7.12
716,2019-05-07,spring,7,20,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Active movement,5.7.12
719,2019-05-08,spring,8,21,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.8.9
71,2019-05-01,spring,1,2,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.1.14
71,2019-08-17,summer,17,32,cactus,Cuculidae,Greater Roadrunner,resident,insectivore,Inactivity,8.17.7
721,2019-05-08,spring,8,21,cactus,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.8.9
724,2019-05-08,spring,8,21,shrub,Trochilidae,Anna's Hummingbird,summer resident,nectarivore,Inactivity,5.8.9
726,2019-05-08,spring,8,21,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.8.9
727,2019-05-08,spring,8,21,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.8.9
728,2019-05-08,spring,8,21,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.8.9
729,2019-05-08,spring,8,21,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.8.9
72,2019-05-01,spring,1,2,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.1.14
72,2019-08-17,summer,17,32,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.7
730,2019-05-08,spring,8,21,open,Troglodytidae,Rock Wren,resident,insectivore,Territorial/mating,5.8.9
731,2019-05-08,spring,8,21,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,Territorial/mating,5.8.9
733,2019-05-08,spring,8,21,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Inactivity,5.8.9
735,2019-05-08,spring,8,21,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.9
736,2019-05-08,spring,8,21,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.9
737,2019-05-08,spring,8,21,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.8.9
738,2019-05-08,spring,8,21,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Feeding,5.8.9
739,2019-05-08,spring,8,21,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Feeding,5.8.9
73,2019-05-01,spring,1,2,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.1.14
73,2019-08-17,summer,17,32,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.7
740,2019-05-08,spring,8,21,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Feeding,5.8.9
741,2019-05-08,spring,8,21,shrub,Parulidae,MacGillivray's Warbler,migrant,insectivore,Feeding,5.8.9
742,2019-05-08,spring,8,21,open,Mimidae,Northern Mockingbird,resident,omnivore,Feeding,5.8.9
