"Plot Title: 20884543"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20884543, SEN S/N: 20884543)","Intensity, lum/ft² (LGR S/N: 20884543, SEN S/N: 20884543)","Coupler Detached (LGR S/N: 20884543)","Coupler Attached (LGR S/N: 20884543)","Host Connected (LGR S/N: 20884543)","Stopped (LGR S/N: 20884543)","End Of File (LGR S/N: 20884543)"
1,10/13/21 01:16:22  PM,23.196,0.0,,,,,
2,10/13/21 01:16:33  PM,,,Logged,,,,
3,10/13/21 02:16:22  PM,21.951,3.0,,,,,
4,10/13/21 03:16:22  PM,21.855,19.0,,,,,
5,10/13/21 04:16:22  PM,21.855,27.0,,,,,
6,10/13/21 05:16:22  PM,21.855,17.0,,,,,
7,10/13/21 06:16:22  PM,21.855,12.0,,,,,
8,10/13/21 07:16:22  PM,21.951,12.0,,,,,
9,10/13/21 08:16:22  PM,21.855,11.0,,,,,
10,10/13/21 09:16:22  PM,21.855,16.0,,,,,
11,10/13/21 10:16:22  PM,21.855,18.0,,,,,
12,10/13/21 11:16:22  PM,21.855,12.0,,,,,
13,10/14/21 12:16:22  AM,21.760,18.0,,,,,
14,10/14/21 01:16:22  AM,21.951,17.0,,,,,
15,10/14/21 02:16:22  AM,21.855,14.0,,,,,
16,10/14/21 03:16:22  AM,21.760,12.0,,,,,
17,10/14/21 04:16:22  AM,21.855,14.0,,,,,
18,10/14/21 05:16:22  AM,21.855,11.0,,,,,
19,10/14/21 06:16:22  AM,21.855,11.0,,,,,
20,10/14/21 07:16:22  AM,21.855,10.0,,,,,
21,10/14/21 08:16:22  AM,21.951,30.0,,,,,
22,10/14/21 09:16:22  AM,21.855,67.0,,,,,
23,10/14/21 10:16:22  AM,21.951,78.0,,,,,
24,10/14/21 11:16:22  AM,21.855,50.0,,,,,
25,10/14/21 12:16:22  PM,21.664,46.0,,,,,
26,10/14/21 01:16:22  PM,21.282,37.0,,,,,
27,10/14/21 02:16:22  PM,21.091,29.0,,,,,
28,10/14/21 03:16:22  PM,21.187,39.0,,,,,
29,10/14/21 04:16:22  PM,22.142,22.0,,,,,
30,10/14/21 05:16:22  PM,21.855,17.0,,,,,
31,10/14/21 06:16:22  PM,21.855,14.0,,,,,
32,10/14/21 07:16:22  PM,21.855,13.0,,,,,
33,10/14/21 08:16:22  PM,21.760,12.0,,,,,
34,10/14/21 09:16:22  PM,21.855,16.0,,,,,
35,10/14/21 10:16:22  PM,21.855,17.0,,,,,
36,10/14/21 11:16:22  PM,21.855,16.0,,,,,
37,10/15/21 12:16:22  AM,21.760,13.0,,,,,
38,10/15/21 01:16:22  AM,21.855,16.0,,,,,
39,10/15/21 02:16:22  AM,21.855,15.0,,,,,
40,10/15/21 03:16:22  AM,21.760,16.0,,,,,
41,10/15/21 04:16:22  AM,21.951,13.0,,,,,
42,10/15/21 05:16:22  AM,21.855,12.0,,,,,
43,10/15/21 06:16:22  AM,21.855,11.0,,,,,
44,10/15/21 07:16:22  AM,21.855,12.0,,,,,
45,10/15/21 08:16:22  AM,21.855,15.0,,,,,
46,10/15/21 09:16:22  AM,21.951,31.0,,,,,
47,10/15/21 10:16:22  AM,21.855,36.0,,,,,
48,10/15/21 11:16:22  AM,21.855,35.0,,,,,
49,10/15/21 12:16:22  PM,21.951,35.0,,,,,
50,10/15/21 01:16:22  PM,21.951,28.0,,,,,
51,10/15/21 02:16:22  PM,21.951,28.0,,,,,
52,10/15/21 03:16:22  PM,21.855,20.0,,,,,
53,10/15/21 04:16:22  PM,21.760,24.0,,,,,
54,10/15/21 05:16:22  PM,21.760,19.0,,,,,
55,10/15/21 06:16:22  PM,21.855,15.0,,,,,
56,10/15/21 07:16:22  PM,21.855,9.0,,,,,
57,10/15/21 08:16:22  PM,21.760,18.0,,,,,
58,10/15/21 09:16:22  PM,21.855,15.0,,,,,
59,10/15/21 10:16:22  PM,21.855,13.0,,,,,
60,10/15/21 11:16:22  PM,21.855,17.0,,,,,
61,10/16/21 12:16:22  AM,21.951,16.0,,,,,
62,10/16/21 01:16:22  AM,21.855,17.0,,,,,
63,10/16/21 02:16:22  AM,21.855,17.0,,,,,
64,10/16/21 03:16:22  AM,21.760,14.0,,,,,
